published_date,Date,title,link
2013-01-01T08:00:00+00:00,1/1/2013,Developers Seeing New Apple iPhone Hardware an...,https://thenextweb.com/news/developers-begin-s...
2013-01-02T08:00:00+00:00,1/2/2013,Life After The iPhone: How AT&T's Bet On Apple...,https://www.forbes.com/sites/connieguglielmo/2...
2013-01-02T08:00:00+00:00,1/2/2013,Apple's Foray into China - and the Mind of the...,https://knowledge.wharton.upenn.edu/article/ap...
2013-01-02T08:00:00+00:00,1/2/2013,Brazen Apple Store Robberies Bracket 2012 - Re...,https://readwrite.com/2013/01/02/brazen-apple-...
2013-01-02T08:00:00+00:00,1/2/2013,What needs to happen for Apple to turn its wat...,https://9to5mac.com/2013/01/02/what-needs-to-h...
2013-01-02T08:00:00+00:00,1/2/2013,Court Rejects Apple’s False Advertising Claim ...,https://techcrunch.com/2013/01/02/court-reject...
2013-01-02T08:00:00+00:00,1/2/2013,Is Apple Plotting A Route To A Waze Acquisitio...,https://techcrunch.com/2013/01/02/is-apple-plo...
2013-01-03T08:00:00+00:00,1/3/2013,Apple invents centralized Apple Store floor pl...,https://appleinsider.com/articles/13/01/03/app...
2013-01-03T08:00:00+00:00,1/3/2013,4 Innovations Apple Should Tackle in 2013 | In...,https://www.inc.com/john-brandon/apple-innovat...
2013-01-03T08:00:00+00:00,1/3/2013,Apple said 'no thanks' to cellular Newton PDA ...,https://appleinsider.com/articles/13/01/03/app...
2013-01-04T08:00:00+00:00,1/4/2013,Forrester Report Says Apple Will Sell $39 Bill...,https://techcrunch.com/2013/01/03/forrester-re...
2013-01-06T08:00:00+00:00,1/6/2013,"Bring the Apple Store experience home, get you...",https://9to5mac.com/2013/01/06/bring-the-apple...
2013-01-06T08:00:00+00:00,1/6/2013,Providing a Template to Challenge Apple - The ...,https://www.nytimes.com/2013/01/07/technology/...
2013-01-06T08:00:00+00:00,1/6/2013,Is Napa a candidate for an Apple store? - Napa...,https://napavalleyregister.com/news/local/is-n...
2013-01-09T08:00:00+00:00,1/9/2013,Hard To Imagine Steve Jobs Running Apple This ...,https://www.forbes.com/sites/greatspeculations...
2013-01-09T08:00:00+00:00,1/9/2013,Safari at 10: lasting impact on Apple's succes...,https://www.macworld.com/article/220086/safari...
2013-01-10T08:00:00+00:00,1/10/2013,"The Apple economy dominates CES 2013, but Sams...",https://www.theverge.com/2013/1/10/3862034/the...
2013-01-10T08:00:00+00:00,1/10/2013,Apple still casts a long shadow over CES - CNN,https://www.cnn.com/2013/01/10/tech/innovation...
2013-01-10T08:00:00+00:00,1/10/2013,Apple Blossom Brewing Company coming soon to n...,https://www.fayettevilleflyer.com/2013/01/10/a...
2013-01-11T08:00:00+00:00,1/11/2013,Apple sees China becoming biggest market - Phy...,https://phys.org/news/2013-01-apple-china-bigg...
